ID,Difficulty,Category,Question_English,Logic_Hint,PostgreSQL_Query,GroundTruthValue,LLM_SQL_Value,Error_Message,Is_Correct,Filter_Version,SQL_Gen_Version
15,Intermediate,Problem Classification,How many times was a 'Cold Head' issue reported under the 'Magnet' problem category?,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Magnet' AND Problem_CAT_L2_LLM = 'Cold Head',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Magnet' AND Problem_CAT_L2_LLM ILIKE '%Cold Head%';,23,23,,True,v2,v3
16,Intermediate,Time & Category,How many 'Repair due to Partially Down' tickets were assigned in May 2024?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202405' AND NOTI_CATEGORY_TEXT = 'Repair due to Partially Down',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_ASSIGNED_YYYYMM = '202405';,154,154,,True,v2,v3
17,Intermediate,Time & Category,What is the total number of 'Scheduled Reactive Service' requests assigned in November 2023?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202311' AND NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_ASSIGNED_YYYYMM = '202311';,42,42,,True,v2,v3
18,Intermediate,Time & Category,How many tickets for 'Scheduled Reactive Service' were processed in October 2024?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202410' AND NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_ASSIGNED_YYYYMM = '202410';,35,35,,True,v2,v3
19,Intermediate,Time & Category,Count the number of 'Repair due to Partially Down' notifications generated in January 2021.,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202101' AND NOTI_CATEGORY_TEXT = 'Repair due to Partially Down',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_ASSIGNED_YYYYMM = '202101';,24,24,,True,v2,v3
20,Intermediate,Time & Category,Find the count of 'Scheduled Reactive Service' tickets assigned during September 2024.,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202409' AND NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_ASSIGNED_YYYYMM = '202409';,24,24,,True,v2,v3
21,Advanced,Closed Status explicit,How many closed service tickets do we have for 'AMIRA' devices located in Germany?,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'AMIRA' AND NOTI_COUNTRY_TEXT = 'Germany' AND NOTI_CURRENT_CLOSED_DT IS NOT NULL,SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_SYS_GROUP_TEXT = 'AMIRA' AND (NOTI_COUNTRY_TEXT = 'Germany' OR NOTI_COUNTRY_ID = 'DE') AND NOTI_CURRENT_CLOSED_DT IS NOT NULL;,148,148,,True,v2,v3
22,Advanced,Closed Status explicit,What is the total number of closed tickets classified as 'Customer request' with 'Configuration and Setup Requests'?,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Customer request' AND Problem_CAT_L2_LLM = 'Configuration and Setup Requests' AND NOTI_CURRENT_CLOSED_DT IS NOT NULL,SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Customer request' AND Problem_CAT_L2_LLM ILIKE '%Configuration and Setup Requests%' AND NOTI_CURRENT_CLOSED_DT IS NOT NULL;,50,50,,True,v2,v3
23,Advanced,Closed Status explicit,How many 'Scheduled Reactive Service' requests assigned in November 2024 have already been closed?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_ASSIGNED_YYYYMM = '202411' AND NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_CURRENT_CLOSED_DT IS NOT NULL,SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_ASSIGNED_YYYYMM = '202411' AND NOTI_CURRENT_CLOSED_DT IS NOT NULL;,31,31,,True,v2,v3
24,Advanced,Single Value - Distinct Count,How many distinct system groups (like AMIRA or VIDA) have reported issues in Germany?,SELECT COUNT(DISTINCT MAT_SYS_GROUP_TEXT) FROM table WHERE NOTI_COUNTRY_TEXT = 'Germany',SELECT COUNT(DISTINCT MAT_SYS_GROUP_TEXT) AS distinct_system_groups FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_COUNTRY_TEXT = 'Germany' OR NOTI_COUNTRY_ID = 'DE';,10,10,,True,v2,v3
25,Advanced,Single Value - Distinct Count,How many unique Level 2 problem categories are associated with the 'Customer request' Level 1 problem?,SELECT COUNT(DISTINCT Problem_CAT_L2_LLM) FROM table WHERE Problem_CAT_L1_LLM = 'Customer request',SELECT COUNT(DISTINCT Problem_CAT_L2_LLM) AS distinct_l2_categories FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Customer request';,8,8,,True,v2,v3
26,Advanced,Single Value - Distinct Count,How many different countries have logged at least one service ticket for the 'SEMPRA-MICA' product line?,SELECT COUNT(DISTINCT NOTI_COUNTRY_TEXT) FROM table WHERE MAT_SYS_GROUP_TEXT = 'SEMPRA-MICA',SELECT COUNT(DISTINCT NOTI_COUNTRY_TEXT) AS distinct_countries FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_IVK_GROUP_TEXT ILIKE '%SEMPRA-MICA%';,19,19,,True,v2,v3
27,Advanced,Single Value - Distinct Count,Across how many distinct months have we assigned a 'Scheduled Reactive Service' ticket?,SELECT COUNT(DISTINCT NOTI_ASSIGNED_YYYYMM) FROM table WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service',SELECT COUNT(DISTINCT NOTI_ASSIGNED_YYYYMM) AS distinct_months FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service';,48,48,,True,v2,v3
28,Advanced,Single Value - Distinct Count,How many different ticket categories successfully recorded the consumption of spare parts?,SELECT COUNT(DISTINCT NOTI_CATEGORY_TEXT) FROM table WHERE NOTI_SP_CONSUMED_FLG = 'Y',SELECT COUNT(DISTINCT NOTI_CATEGORY_TEXT) AS distinct_ticket_categories FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_SP_CONSUMED_FLG = 'Y';,3,3,,True,v2,v3
29,Advanced,Logical OR combination,What is the combined total count of tickets that belong to EITHER 'VIDA' systems in Germany OR 'SEMPRA-MICA' systems in Brazil?,SELECT COUNT(NOTI_ID) FROM table WHERE (MAT_SYS_GROUP_TEXT = 'VIDA' AND NOTI_COUNTRY_TEXT = 'Germany') OR (MAT_SYS_GROUP_TEXT = 'SEMPRA-MICA' AND NOTI_COUNTRY_TEXT = 'Brazil'),SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE (MAT_SYS_GROUP_TEXT = 'VIDA' AND (NOTI_COUNTRY_TEXT = 'Germany' OR NOTI_COUNTRY_ID = 'DE')) OR (MAT_IVK_GROUP_TEXT ILIKE '%SEMPRA-MICA%' AND NOTI_COUNTRY_TEXT = 'Brazil');,244,244,,True,v2,v3
30,Advanced,Logical OR combination,"For the 'Cooling' Level 1 category, how many total tickets involve EITHER 'Pressure-Related' OR 'Water Flow and Blockage Issues'?","SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Cooling' AND Problem_CAT_L2_LLM IN ('Pressure-Related', 'Water Flow and Blockage Issues')",SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Cooling' AND (Problem_CAT_L2_LLM ILIKE '%Pressure-Related%' OR Problem_CAT_L2_LLM ILIKE '%Water Flow and Blockage Issues%');,68,68,,True,v2,v3
